"100年09月 0056 元大高股息       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"100/09/01","167,055","4,305,452","25.46","25.93","25.46","25.66","+0.23","77",
"100/09/02","41,015","1,049,581","25.80","25.80","25.42","25.55","-0.11","27",
"100/09/05","126,260","3,156,310","25.40","25.40","24.89","25.00","-0.55","69",
"100/09/06","195,120","4,813,721","25.10","25.10","24.45","24.50","-0.50","113",
"100/09/07","36,000","892,860","24.55","24.91","24.55","24.90","+0.40","18",
"100/09/08","44,200","1,111,126","25.00","25.20","25.00","25.05","+0.15","22",
"100/09/09","109,001","2,741,365","24.71","25.39","24.71","25.12","+0.07","39",
"100/09/13","57,158","1,416,028","25.12","25.12","24.58","24.58","-0.54","41",
"100/09/14","127,100","3,118,130","25.00","25.00","24.20","24.30","-0.28","99",
"100/09/15","78,000","1,936,400","24.71","24.94","24.51","24.80","+0.50","31",
"100/09/16","140,084","3,550,870","25.00","25.50","25.00","25.50","+0.70","75",
"100/09/19","120,000","3,020,930","25.30","25.40","25.08","25.08","-0.42","50",
"100/09/20","49,000","1,223,600","25.08","25.12","24.74","25.07","-0.01","28",
"100/09/21","55,000","1,374,070","25.40","25.40","24.90","25.09","+0.02","26",
"100/09/22","147,000","3,596,230","25.00","25.00","24.39","24.42","-0.67","89",
"100/09/23","279,537","6,681,783","24.40","24.40","23.57","24.09","-0.33","138",
"100/09/26","205,497","4,835,070","24.09","24.09","23.24","23.24","-0.85","154",
"100/09/27","106,236","2,512,432","23.60","23.74","23.55","23.74","+0.50","81",
"100/09/28","114,150","2,706,525","23.75","23.75","23.50","23.51","-0.23","44",
"100/09/29","445,000","10,551,870","23.51","23.90","23.47","23.87","+0.36","57",
"100/09/30","28,000","669,890","23.87","24.00","23.72","24.00","+0.13","22",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

